episode,cue_index,turn_index,start,end,speaker,dialogue,confidence,basis,notes,language,english_subtitle,speaker_candidates
S02E02,251,1,"00:14:12,540","00:14:15,990",DANIEL MOLLOY,But with a history of chasing the wrong kind of love.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.75; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | SANTIAGO
S02E02,252,1,"00:14:16,040","00:14:19,110",DANIEL MOLLOY,"Well, where better to explore who you are,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.48; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | SANTIAGO
S02E02,253,1,"00:14:19,150","00:14:22,780",DANIEL MOLLOY,"to find the right kind of love, than in a public park?",uncertain,best contextual candidate from text-only sources,recognition_margin=0.48; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | SANTIAGO
S02E02,254,1,"00:14:22,830","00:14:24,460",LOUIS DE POINTE DU LAC,I had lost patience.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.65; no episode audio used,English,,ARMAND | SANTIAGO | CLAUDIA
S02E02,255,1,"00:14:25,310","00:14:27,300",ARMAND,I was convinced we were being toyed with,uncertain,best contextual candidate from text-only sources,recognition_margin=0.14; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | SANTIAGO
S02E02,256,1,"00:14:27,330","00:14:29,800",ARMAND,and I could hold back the coven only so long.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.14; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | SANTIAGO
S02E02,257,1,"00:14:33,260","00:14:35,700",LOUIS DE POINTE DU LAC,"I knew the park well myself,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.76; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,258,1,"00:14:35,750","00:14:37,790",LOUIS DE POINTE DU LAC,"knew what went on in the rambles there,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.76; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,259,1,"00:14:37,840","00:14:41,880",LOUIS DE POINTE DU LAC,so I was not surprised to find him without the girl.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.76; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,260,1,"00:14:44,350","00:14:46,880",ARMAND,I would confront the elder and make him aware,uncertain,best contextual candidate from text-only sources,recognition_margin=0.02; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | SANTIAGO
S02E02,261,1,"00:14:46,930","00:14:50,630",ARMAND,of the ways rogue vampires were dealt with in Paris.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.02; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | SANTIAGO
S02E02,262,1,"00:14:54,720","00:14:59,380",LOUIS DE POINTE DU LAC,He looked like a boy masquerading as a gentleman.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.56; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
